관리번호,위도,경도,정보,geometry,index_right
워커힐로1-9,37.5434951,127.096594,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.096594 37.5434951),116124.0
워커힐로2-1,37.5468461,127.0979967,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0979967 37.5468461),116125.0
워커힐로2-10,37.5481808,127.0985235,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0985235 37.5481808),116125.0
워커힐로2-11,37.5483804,127.098556,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.098556 37.5483804),116125.0
워커힐로2-12,37.5485878,127.0986001,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0986001 37.5485878),116125.0
워커힐로2-13,37.5488134,127.0986499,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0986499 37.5488134),116125.0
워커힐로2-14,37.5490378,127.0987241,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0987241 37.5490378),116125.0
워커힐로2-15,37.5491902,127.0988134,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0988134 37.5491902),116125.0
워커힐로2-16,37.5493032,127.0989345,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0989345 37.5493032),116125.0
워커힐로2-17,37.5494369,127.0991432,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0991432 37.5494369),116125.0
워커힐로2-18,37.549488,127.0992637,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0992637 37.549488),116125.0
워커힐로2-19,37.5495556,127.0995883,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0995883 37.5495556),116125.0
워커힐로2-2,37.5470534,127.0979814,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0979814 37.5470534),116125.0
워커힐로2-20,37.549584,127.0999659,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0999659 37.549584),116125.0
워커힐로2-21,37.5496504,127.1002911,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1002911 37.5496504),116125.0
워커힐로2-22,37.5496836,127.1004414,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1004414 37.5496836),116125.0
워커힐로2-23,37.5497441,127.1006048,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1006048 37.5497441),116125.0
워커힐로2-24,37.5498703,127.1006975,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1006975 37.5498703),116125.0
워커힐로2-25,37.550069,127.1008011,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1008011 37.550069),116125.0
워커힐로2-26,37.5503002,127.1008683,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1008683 37.5503002),116125.0
워커힐로2-27,37.5505471,127.1008665,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1008665 37.5505471),116125.0
워커힐로2-28,37.5505391,127.1011524,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1011524 37.5505391),116125.0
워커힐로2-29,37.550725,127.1008882,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1008882 37.550725),116125.0
워커힐로2-3,37.5471864,127.098009,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.098009 37.5471864),116125.0
워커힐로2-30,37.5508356,127.1009556,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1009556 37.5508356),116125.0
워커힐로2-4,37.5473623,127.0980392,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0980392 37.5473623),116125.0
워커힐로2-5,37.5474412,127.0980671,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0980671 37.5474412),116125.0
워커힐로2-6,37.5475462,127.098091,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.098091 37.5475462),116125.0
워커힐로2-7,37.5476694,127.0981295,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0981295 37.5476694),116125.0
워커힐로2-8,37.5478003,127.0982251,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0982251 37.5478003),116125.0
워커힐로2-9,37.5479722,127.0983996,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0983996 37.5479722),116125.0
워커힐로3-1,37.5509181,127.101032,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.101032 37.5509181),116125.0
워커힐로3-10,37.5518853,127.1041879,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1041879 37.5518853),116584.0
워커힐로3-11,37.5518976,127.1044793,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1044793 37.5518976),116584.0
워커힐로3-12,37.5518878,127.1049209,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1049209 37.5518878),116584.0
워커힐로3-13,37.551792,127.1052355,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1052355 37.551792),116584.0
워커힐로3-14,37.551649,127.1055929,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1055929 37.551649),116584.0
워커힐로3-15,37.5515601,127.1059839,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1059839 37.5515601),116584.0
워커힐로3-16,37.5515815,127.1063121,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1063121 37.5515815),116584.0
워커힐로3-17,37.5516658,127.1065778,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1065778 37.5516658),116584.0
워커힐로3-18,37.5517521,127.1067981,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1067981 37.5517521),116584.0
워커힐로3-2,37.5511162,127.1012937,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1012937 37.5511162),116584.0
워커힐로3-3,37.5513542,127.1016887,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1016887 37.5513542),116584.0
워커힐로3-4,37.5514702,127.1020164,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1020164 37.5514702),116584.0
워커힐로3-5,37.5515705,127.1023498,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.1023498 37.5515705),116584.0
